Title,Genre,Year,Certification,Rating,Director,Actors
The Lion King,Animation,1994,G,8.5,Roger Allers,"Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,Whoopi Goldber"
Spider-Man: Into the Spider-Verse,Animation,2018,PG,8.4,Bob Persichetti,"Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Al"
Cyberpunk: Edgerunners,Animation,2022,TV-MA,8.3,,"Zach Aguilar,Kenichiro Ohashi,Emi Lo,Aoi Yûk"
Hunter x Hunter,Animation,2011,TV-14,9.0,,"Issei Futamata,Megumi Han,Cristina Valenzuela,Mariya Is"
Fantastic Mr. Fox,Animation,2009,PG,7.9,Wes Anderson,"George Clooney,Meryl Streep,Bill Murray,Jason Schwartzma"
Our Flag Means Death,Romance,2022,TV-MA,7.8,,"Rhys Darby,Joel Fry,Samson Kayo,Matthew Mahe"
Grey's Anatomy,Romance,2005,TV-14,7.6,,"Chandra Wilson,James Pickens Jr.,Ellen Pompeo,Justin Chamber"
Virgin River,Romance,2019,TV-14,7.4,,"Alexandra Breckenridge,Martin Henderson,Colin Lawrence,Tim Matheso"
Poor Things,Romance,2023,R,8.5,Yorgos Lanthimos,"Emma Stone,Mark Ruffalo,Willem Dafoe,Ramy Yousse"
No Hard Feelings,Romance,2023,R,6.4,Gene Stupnitsky,"Jennifer Lawrence,Andrew Barth Feldman,Laura Benanti,Matthew Broderic"
After Everything,Romance,2023,R,4.6,Castille Landon,"Hero Fiennes Tiffin,Josephine Langford,Kefas Brand,Mimi Keen"
